iter	Passed	Remaining
0	1	150
1	3	163
2	5	166
3	6	156
4	8	158
5	9	155
6	11	150
7	13	149
8	14	148
9	16	149
10	18	146
11	20	146
12	21	143
13	23	141
14	24	140
15	26	137
16	28	137
17	30	137
18	32	136
19	33	135
20	35	134
21	37	134
22	39	133
23	41	132
24	43	131
25	45	130
26	48	129
27	50	128
28	51	126
29	54	126
30	56	124
31	57	122
32	59	121
33	61	119
34	63	117
35	64	115
36	66	113
37	68	111
38	69	109
39	71	107
40	73	105
41	74	102
42	76	101
43	78	100
44	80	98
45	82	97
46	84	95
47	86	94
48	89	92
49	91	91
50	92	89
51	94	87
52	96	85
53	97	83
54	99	81
55	100	79
56	103	77
57	104	75
58	106	73
59	107	71
60	109	70
61	111	68
62	112	66
63	113	64
64	115	62
65	117	60
66	118	58
67	120	56
68	121	54
69	123	52
70	124	50
71	125	48
72	127	47
73	128	45
74	130	43
75	131	41
76	133	39
77	134	37
78	136	36
79	137	34
80	139	32
81	140	30
82	141	29
83	142	27
84	144	25
85	145	23
86	147	22
87	148	20
88	150	18
89	151	16
90	152	15
91	154	13
92	156	11
93	157	10
94	158	8
95	160	6
96	161	5
97	162	3
98	164	1
99	165	0
